Date,Location,Attendees,Event (legacy; see tags),Tags,Curated,Source,Total Articles
2017-01-21,"Cincinnati, OH",8150,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.cincinnati.com/story/news/2017/01/06/cincinnati-area-women-organize-local-march-coincide-women-march-washington/96240188/,1
2017-01-21,"Albany, NY",7900,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.timesunion.com/local/article/Albany-activists-Inaugurate-Resistance-on-10873758.php,1
2017-01-21,"Spokane, WA",7600,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.kxly.com/news/local-news/thousands-participate-in-spokane-womens-march/284915297,2
2017-01-21,"Augusta, ME",7250,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.pressherald.com/2017/01/21/thousands-converge-on-augusta-for-womens-march-on-maine-rally/,1
2017-01-21,"Birmingham, AL",7250,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.al.com/news/birmingham/index.ssf/2017/01/thousands_parade_through_birmi.html,1
2017-01-21,"Kansas City, MO",7250,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.kctv5.com/story/34305915/women-in-kansas-city-march-in-solidarity-with-womens-march-in-washington,1
2017-01-21,"Lexington, KY",7250,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.kentucky.com/news/local/counties/fayette-county/article127943879.html,1
2017-01-21,"Colorado Springs, CO",7000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://gazette.com/colorado-springs-womens-march-underway/article/1594846,2
2017-01-21,"Little Rock, AR",7000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.arkansasonline.com/news/2017/jan/21/hundreds-march-street-state-capitol-downtown-littl/?f%3Dnews-arkansas,1
2017-01-21,"Trenton, NJ",6900,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.northjersey.com/story/news/new-jersey/2017/01/21/thousands-attend-womens-march-new-jersey/96881776/,1
